,제목,제공기관,설명,파일형태,수정일,제공형태
346,강원도 강릉시 흡연단속시스템 전국 관청정보,자치행정기관,중장기개방계획에 따른 강릉시 흡연단속시스템 전국 관청정보입니다.,CSV,2020-10-30,파일
347,울산광역시 중구 한의원현황,자치행정기관,"울산광역시 중구에 소재한 한의원의 의원명, 소재지, 연락처 등의 현황",CSV,2020-10-30,파일
348,인천광역시 남동구 안마시술소 및 안마원 현황,자치행정기관,"안마시술소 및 안마원 현황(상호,주소,전화번호)",CSV,2020-10-30,파일
349,부산광역시 동구 필수예방접종 위탁의료기관 현황,자치행정기관,"부산광역시 동구 소재의 어린이 필수예방접종 위탁의료기관 현황(의료기관명, 주소, 전화번호, 데이터기준일자 등)",CSV,2020-10-30,파일
350,부산광역시 금정구 의료기기판매업소 현황,자치행정기관,관내에서 의료기기 판매업을 하는 업소명 및 소재지,CSV,2020-10-30,파일
351,한국보건복지인력개발원 의료검정통역능력시스템 시험정보,공공기관,2020년 의료통역능력검정시스템 시험정보,CSV,2020-10-30,파일
352,서울특별시 서초구 흡연단속 실적,자치행정기관,"흡연단속 민원 실적, 흡연 민원 건수, 흡연부스 현황",CSV,2020-10-29,파일
353,질병관리청 인체자원 분양정보,국가행정기관,분양대상 인체자원 수량 및 활용성과 관련데이터,CSV,2020-10-29,파일
354,건강보험심사평가원 의약품안전사용 임부금기,공공기관,의약품안전사용(DUR) 임부금기 의약품 품목 정보,CSV,2020-10-29,파일
355,건강보험심사평가원 요양기관 폐업 현황,공공기관,"요양기관 폐업 현황(요양기관명, 소재지, 종별, 폐업일자 등) / 반기 단위 업데이트",CSV,2020-10-29,파일
356,건강보험심사평가원 요양기관 개설 현황,공공기관,"요양기관 개설 현황(요양기관명, 소재지, 종별, 개설일자 등) / 반기 단위 업데이트",CSV,2020-10-29,파일
357,건강보험심사평가원 전국 병의원 및 약국 현황,공공기관,"요양기관 기본정보, 세부정보, 시설정보, 의료장비정보 등 요양기관별 상세 현황 정보 / 건강보험심사평가원 병원정보서비스+약국정보서비스+의료기관별상세정보서비스 오픈API 데이터셋 / 분기별 업데이트","CSV,ZIP",2020-10-29,파일
358,부산광역시 동구 의료급여수급자 현황,자치행정기관,"부산광역시 동구 의료급여 수급자 현황
(국민기초1종, 국민기초2종, 국가유공자,시설입소자 별 해당 수급자 수)",CSV,2020-10-29,파일
359,부산광역시 동구 의료기기수리업현황,자치행정기관,부산 동구 관내 의료기기수리업 현황,CSV,2020-10-29,파일
360,부산광역시 동구 의료기기판매업소 현황,자치행정기관,부산 동구 관내 의료기기판매소 현황,CSV,2020-10-29,파일
361,부산광역시 동구 의약품도매상현황,자치행정기관,"부산 동구 관내 의약품 도매상 현황(업소명,소재지,연락처등)데이터를 제공합니다.",CSV,2020-10-29,파일
362,서울특별시 양천구 흡연시설 현황,자치행정기관,"서울특별시 양천구 내 흡연구역 설치 현황 정보 (설치위치, 시설형태, 규모, 설치기관 등)",CSV,2020-10-29,파일
363,부산광역시 기장군 의료기기 판매업현황,자치행정기관,"의료기기 판매업소 현황(업체명, 주소, 연락처)",CSV,2020-10-29,파일
364,서울특별시 용산구 관내의료기관현황,자치행정기관,"용산구 관내 의료기관이름, 주소, 전화번호 등의 정보입니다.",CSV,2020-10-29,파일
365,서울특별시 1인당 사회복지 예산액 통계,자치행정기관,"○ 통계개요
* 통계명 : 1인당 사회복지 예산액
* 통계종류 : 보건복지부 '지역사회 건강조사', 통계청 '인구주택총조사', 서울특별시
'주민등록인구' 등을 활용한 가공통계
* 작성목적 : 서울 시민들의 건강문제를 진단하고, 건강격차에 대한 인식과 관심을 증가시켜
건강한 공공보건정책 수립의 기초자료 제공
* 공표주기 : 정기(매년)
* 공표범위 : 지역 - 서울시 및 자치구
내용 - 자치구별 1인당 사회복지 예산액

○ 용어설명
* 1인당 사회복지예산액 : 1인당 자치구 일반회계 복지예산액
* 산출식 : 자치구 일반회계 중 사회복지예산 총액 / 해당지역 주민등록인구 전체
* 자치구별 상대격차와 절대격차는 자치구 전체 평균(서울시 사회복지예산 제외)을
기준으로 산출한 값임

○ 기 타
* 상대격차 : 상대위험도(relative risk)나 상대격차백분율(relative gap)로 제시
- 상대위험도는 해당집단의 표준화율을 기준집단의 표준화율로 나누어준 값으로
상대위험도가 1.3이라는 것은 기준집단에 비해 위험이 1.3배 높다는 것을 의미함
- 상대격차백분율은 {(해당집단 표준화율 - 기준집단 표준화율) /
기준집단 표준화율 ×100}
* 절대격차 : 해당집단의 표준화율에서 기준집단의 표준화율을 뺀 값
* 각 값은 반올림한 값이기 때문에 표준하율들의 비와 제시된 값이 일치하지
않을 수 있음

○ 출 처 : 보건의료정책과, 서울시 건강격차 모니터링 결과",TXT,2020-10-28,파일
366,서울특별시 식중독 발생 현황 통계,자치행정기관,"○ 통계개요
* 통계명 : 식중독 발생 현황
* 통계종류 : 서울시 식중독 발생 현황을 제공하는 일반ㆍ보고통계
* 작성목적 : 식중독 발생 원인과 발생 시설에 대한 통계를 파악하여 식중독 관련분야의 식중독예방,
식중독안전관리, 교육 및 홍보, 식중독 조기경보 등의 기초자료로 활용하고자 함
* 조사체계 : 식중독 환자 또는 의사(한의사), 집단급식소 설치·운영자 → 시·군·구 → 식품의약품안전처
* 공표주기 : 정기(매년)
* 공표범위 : 지역 - 서울시
내용 - 서울시 원인시설별 식중독 발생건수 및 환자수 현황

○ 용어설명
* 식중독 : 식품의 섭취로 인하여 인체에 유해한 미생물 또는 유독 물질에 의하여
발생하였거나 발생한 것으로 판단되는 감염성 또는 독소형 질환을 말함
(식품위생법 제2조제14항)
* 집단식중독 : 역학적 조사 결과 식품 또는 물이 질병의 원인으로 확인된 경우로서
동일한 식품이나 동일한 공급원의 물을 섭취한 후 2인 이상의 사람이
유사한 질병을 경험한 사건

○ 기 타
* 집단급식소 중 학교는 직영, 위탁 포함
* 식중독 발생신고건수 및 환자수는 집단식중독(동일한 식품의 섭취로 인하여
2인 이상의 사람이 유사한 질병을 경험한 사건) 사고에 대한 통계자료임
* 식중독발생 통계는 최종역학조사결과에 따라 변동될 수 있음
* 신고건수및 환자수가 ""0""에 가까울수록 집단식중독 발생이 적다는것을 의미

○ 출 처 : 식품의약품안전처 식품안전정보포털, 식중독통계",TXT,2020-10-28,파일
367,강원도 동해시 공중위생업 현황,자치행정기관,"동해시 공중위생업 현황
- 이용실, 미용업 등",CSV,2020-10-28,파일
368,서울특별시 시민건강포인트 병의원 정보,자치행정기관,"서울특별시 시민건강포인트 병의원 정보입니다.
시민건강 포인트는 ""고혈압이나 당뇨병 환자가 동네의원에서 꾸준히 치료를 받거나 자가 관리 교육을 받으면 건강포인트가 생겨서 이 포인트로 추가적인 건강관리(필수검사,예방접종)를 받을 수 있는 제도""입니다. 시민건강포인트 대상 병의원 정보를 제공합니다.",CSV,2020-10-28,파일
369,서울특별시 세이프약국 정보,자치행정기관,"서울특별시 세이프약국 현황정보입니다.
서울시에서 추진하는 세이프약국(세밀하고 이용하기 편리한 건강관리 프로그램)에서 포괄적 약력관리, 금연지지, 생명존중 등 보건서비스를 제공하고 있습니다.
세이프약국에서는 지역 주민들의 의약품 복용 내역을 체계적으로 관리해드리고 있으며,
가까운 세이프약국을 방문하시면 자세한 상담을 받으실 수 있습니다.",CSV,2020-10-28,파일
370,서울특별시 의료관광허가 의료기관 정보 (한국어),자치행정기관,"의료관광허가가된 의료기관의 상호 및 주소, 타겟국가 등 관련 정보 제공(한국어)",CSV,2020-10-28,파일
371,서울특별시 의료관광허가 의료기관 정보 (중국어 간체),자치행정기관,"의료관광허가가된 의료기관의 상호 및 주소, 타겟국가 등 관련 정보 제공(중국어)",CSV,2020-10-28,파일
372,서울특별시 의료관광허가 의료기관 정보 (영어),자치행정기관,"의료관광허가가된 의료기관의 상호 및 주소, 타겟국가 등 관련 정보 제공(영어)",CSV,2020-10-28,파일
373,서울특별시 모기예보제 정보,자치행정기관,"서울지역 모기발생 상황을 지수화하여 모기발생 단계별 시민행동요령을 알려주는 일일 모기발생 예보서비스입니다.
※ 모기 활동 지수는 5.1~10.31 기간에만 측정되오니, 이용에 참고해주시기 바랍니다.
※ 모기지수값이 아래와같이 3가지로 변경됩니다. (2020.4.14)
- mosquito_value(모기지수) -> mosquito_value_water (모기지수(수변부))/mosquito_value_house/모기지수(주거지)), mosquito_value_park(모기지수(공원))
※ 모기발생단계와 시민행동요령에 대한 자세한 사항은 모기예보제 (http://news.seoul.go.kr/welfare/mosquito) 페이지를 참조하시기 바랍니다.",CSV,2020-10-28,파일
374,서울특별시 산후조리업소 관리 현황,자치행정기관,"서울시에 등록된 산후조리업소 등록 정보로 영업상태, 업소명칭, 소재지, 전화번호 등의 정보를 제공합니다.",CSV,2020-10-28,파일
375,서울특별시 동물용 의약품 도매업체 정보,자치행정기관,"서울특별시 동물용 의약품 도매업체 정보입니다.
동물용 의약품 도매업체명, 주소, 개업일, 위치정보 등을 제공합니다.",CSV,2020-10-28,파일
376,서울특별시 응급실 월별 이용 현황 통계,자치행정기관,"○ 통계개요
* 통계명 : 응급실 월별 이용 현황
* 통계종류 : 보고통계
* 작성목적 : 권역·전문·지역응급의료센터 등의 응급환자진료 정보를 이용하여 응급실
이용자들의 현황을 파악하고 분석하여 응급환자 진료체계 개선 및 지역별
응급의료 시행계획 수립에 대한 기초자료와 국민건강보호 보호 등 국가적
정책자료에 이용가능한 정보를 제공
* 조사체계 : 시·군·구(응급의료 관련과)→시·도→국립중앙의료원 중앙응급의료센터
NEDIS가 구축된 병원→국립중앙의료원 중앙응급의료센터
* 공표주기 : 매년
* 공표범위 : 지역 - 서울시
내용 - 응급실 월별, 성별, 연령별 이용자 수 등

○ 용어설명
* 응급환자 : 응급의료에 관한 법률 제2조(정의) 제1호에 해당하는 응급환자로서 질병,
분만, 각종 사고 및 재해로 인한 부상이나 그 밖의 위급한 상태로 인하여
즉시 필요한 응급처치를 받지 아니하면 생명을 보존할 수 없거나 심신에
중대한 위해(危害)가 발생할 가능성이 있는 환자 또는 이에 준하는 사람

○ 기타
* 응급의료기관 중 NEDIS를 구축하고 진료정보를 전송하고 있는 서울지역 31개 지역응급
의료센터급 이상의 현황자료임
** NEDIS : 전국의 응급의료기관으로부터 전송되는 진료관련 정보를 실시간으로 수집
하여 선진국형 응급의료체계 구축 기반마련 및 응급의료에 관한 연구와 정책수립의
기초자료 제공을 위하여 응급의료에 관한 법률 제15조(응급의료정보통신망의 구축),
제17조(응급의료기관등에 대한 평가) 에 근거하여 2003년에 구축

○ 출 처 : 국립중앙의료원 중앙응급의료센터 「국가응급진료정보망(NEDIS) 통계연보」",TXT,2020-10-28,파일
377,서울특별시 헌혈현황(혈액형별) 통계,자치행정기관,"○ 통계개요
* 통계명 : 헌혈현황(혈액형별)
* 통계종류 : 서울시 헌혈실적현황을 제공하는 일반, 보고통계
* 근거법령 :「혈액관리법」에 따라 혈액사업을 위임받은 대한적십자사의 헌혈사업 실적
* 작성목적 : 헌혈사업의 대상이 되는 개인 또는 집단에 따른 헌혈실적을 파악하여,
헌혈 참여를 증진시키고 관련정책 수립의 기초자료로 활용하는 것을
목적으로 함
* 조사체계 : 해당기관 → 시도 → 대한적십자사 혈액관리원
* 공표주기 : 정기(매년)
* 공표범위 : 지역 - 서울시
내용 - 혈액형별(RH+, RH-), 성별 헌혈실적건수

○ 용어설명
* 헌혈자 : 자신의 혈액을 혈액원에 무상으로 제공하는 자

○ 기 타
* 헌혈건수 실적은 동일인이 여러 차례 헌혈을 실시해도 매회 실적으로 인정
* 채혈혈액형 기준임(RH=, RH- 모두 포함)
* 서울혈액원(중앙, 동부, 남부) 채혈실적 기준
** 서부혈액원이 중앙혈액원으로 명칭 변경(2018.04.)
** 2017년이전 혈액원(서부, 동부, 남부) 채혈실적 기준
** 2009년이전 혈액원(중앙,서부,동부,남부) 채혈실적 기준
* 2005년부터 성별 추가
* 헌혈이 가능한 나이 만16세~69세 (2009.01.30. 변경)

○ 출 처 : 대학적십자사 혈액관리본부「혈액사업통계연보」",TXT,2020-10-28,파일
378,경기도 소독의무대상시설 현황,자치행정기관,경기도 내 소독의무대상시설 현황입니다. 감염병의 예방 및 관리에 관한 법률에 의거 해당되는 업체들에 대한 정보들을 제공합니다.,CSV,2020-10-28,파일
379,울산광역시 중구 세탁소,자치행정기관,"울산 중구 세탁소 현황(명칭, 소재지, 전화번호)",CSV,2020-10-28,파일
380,울산광역시 중구 요양병원 현황,자치행정기관,"울산광역시 중구내 소재한 요양병원의 시설명, 소재지주소, 연락처 등의 현황",CSV,2020-10-28,파일
381,울산광역시 중구 목욕탕,자치행정기관,"울산광역시 중구 내 소재한 목욕탕의 명칭, 소재지, 연락처 등의 정보",CSV,2020-10-28,파일
382,울산광역시 중구 예방접종 지정기관 현황,자치행정기관,"울산광역시 중구 내 소재한 예방접종 지정기관 병원명, 연락처, 주소, 접종항목 등 현황",CSV,2020-10-28,파일
383,대전광역시 대덕구 의료기관정보,자치행정기관,"대전광역시 대덕구 의료기관현황(명칭, 소재지주소, 전화번호)입니다.",CSV,2020-10-27,파일
384,서울특별시 성동구 동물병원현황,자치행정기관,서울특별시 성동구 동물병원 현황 정보,CSV,2020-10-27,파일
385,제주특별자치도 해녀진료비지원의료기관현황,자치행정기관,"제주도 내 해녀(잠수어업인) 지원 진료기관의 진료기관명, 소재지, 진료과목 등 정보 제공",CSV,2020-10-27,파일
386,제주특별자치도 한방난임치료지원한의원현황,자치행정기관,"제주도 내 한방난임치료지정 한의원명. 연락처, 주소 정보 제공",CSV,2020-10-27,파일
387,경기도 양주시 공중 위생업소 현황,자치행정기관,양주시 공중 위생업소 현황 및 위치정보,CSV,2020-10-27,파일
388,제주특별자치도 정신요양시설현황,자치행정기관,"제주특별자치도 정신보건시설의 시설명, 소재지, 연락처 등 정보 제공",CSV,2020-10-27,파일
389,세종특별자치시 진단용방사선발생장치 현황,자치행정기관,"세종특별자치시 의료기관의 진단용방사선발생장치현황(장치명칭, 장치모델명, 의료기관명 등)",CSV,2020-10-27,파일
390,질병관리청 원격지기탁지원시스템 바코드정보,국가행정기관,인체자원의 수집을 위하여 코호트 사이트에서 발행한 정보등록 및 바코드 출력이력 정보,CSV,2020-10-26,파일
391,부산광역시 전문병원 지정 현황,자치행정기관,"부산시 소재 특정진료 특화전문병원 현황으로 병원명, 위치, 전화번호 등의 젱보를 제공합니다.",CSV,2020-10-26,파일
392,강원도 강릉시 흡연단속 정보,자치행정기관,중장기개방계획에 따른 강릉시흡연단속시스템 흡연단속정보입니다.,CSV,2020-10-26,파일
393,제주특별자치도 이용업현황,자치행정기관,"제주도 내 공중위생업소 이용업의 업소명, 소재지, 전화번호 등 정보 제공",CSV,2020-10-26,파일
394,제주특별자치도 응급의료기관현황,자치행정기관,"제주도 내 응급의료기관의 의료기관명, 소재지, 전화번호 등 정보 제공",CSV,2020-10-26,파일
395,제주특별자치도 읍면동별성인병건강실태분석,자치행정기관,"제주도내 읍면동별 성인병 건강실태 분석 관련 비만율, 흡연율, 스트레스 인지율 등 정보 제공
* 본 조사는 5년마다 진행됩니다.",CSV,2020-10-26,파일
396,광주광역시 광주보건환경연구원 감염병 매개모기 서식분포 표본조사,자치행정기관,"기후 환경 변화에 따른 지카바이러스감염증, 뎅기열 등 감염병 매개 모기의 지역내 서식 분포를 조사한 연간 분석 자료를 개방하고자 함",CSV,2020-10-26,파일
397,광주광역시 광주보건환경연구원 인플루엔자 및 호흡기바이러스감염증 병원체 표본감시자료,자치행정기관,"전파력이 강하여 사회경제적 손실을 야기하는 인플루엔자 등 호흡기바이러스감염증의 원인병원체 유행실태를 파악하고자, 일선의료기관(표본감시의료기관)과 협력관계를 구축하여 표본검체를 확보, 원인병원체를 최종 분석한 연간 표본감시결과를 공개하고자 함",CSV,2020-10-26,파일
398,광주광역시 공중위생업소 현황,자치행정기관,광주광역시 업종별 자치구별 공중위생업소현황,CSV,2020-10-26,파일
399,서울특별시 동대문구 흡연시설현황,자치행정기관,"서울특별시 동대문구 흡연시설 현황(시설형태, 설치위치, 규모, 규모단위, 설치년도, 운영관리 등)",CSV,2020-10-26,파일
400,제주특별자치도 수눌음육아나눔터현황,자치행정기관,"제주도 내 수눌음육아나눔터의 센터명, 주소, 전화번호 등 정보 제공",CSV,2020-10-26,파일
401,제주특별자치도 산후조리원현황,자치행정기관,"제주도 내 산후조리원의 산후조리원명, 주소, 대표번호 등 정보 제공",CSV,2020-10-26,파일
402,제주특별자치도 산모신생아건강관리지원서비스제공기관현황,자치행정기관,"제주도 내 산모 신생아 건강관리 지원서비스 제공기관명, 주소, 전화번호 정보 제공",CSV,2020-10-26,파일
403,보건복지부 연도별 구급차 현황,국가행정기관,구급차 현황 (2002-2018년) : 연도별 기관별 구급차 운용 현황 (중앙응급의료센터에서 매월 응급의료정보센터의 운영실적을 취합 통계 작성),CSV,2020-10-26,파일
404,인천광역시 미추홀구 의약품도매업현황,자치행정기관,미추홀구 의약품도매업 현황,CSV,2020-10-26,파일
405,제주특별자치도 무료영유아예방접종가능의료기관현황,자치행정기관,"제주도 내 영유아 예방접종 의료기관의 행정시, 병/의원명, 전화번호, 주소 정보 제공",CSV,2020-10-26,파일
406,제주특별자치도 모유수유시설설치현황,자치행정기관,"제주도 내 모유수유실이 설치된 건물의 시설명, 주소, 사용구분 등 정보 제공",CSV,2020-10-26,파일
407,인천광역시 부평구 동물병원 현황,자치행정기관,"부평구 동물병원의 업소명, 소재지, 전화번호 안내",CSV,2020-10-26,파일
408,보건복지부 시도별 사회복지사 자격증 교부자수,국가행정기관,"사회복지사 자격증 취득현황 통계 : 시도별, 자격증급수별",CSV,2020-10-26,파일
409,경기도 성남시 소독의무대상시설 현황,자치행정기관,"감염병의 예방 및 관리에 관한 법률 시행규칙에 따른 우리시 소독의무대상시설 현황자료 입니다(시설구분, 업소명, 주소 등)",CSV,2020-10-26,파일
410,보건복지부 연도별 사회복지사 자격증 교부자수,국가행정기관,"사회복지사 자격증 취득현황 통계(2002-2018년) : 연도별, 자격증 급수별",CSV,2020-10-26,파일
411,부산광역시 북구 의원급 의료기관 현황,자치행정기관,"부산광역시 북구 소재 의원급 의료기관 현황(의원명, 주소, 연락처 등)",CSV,2020-10-23,파일
412,서울특별시 영등포구 약국 인허가 정보,자치행정기관,"영등포구에 등록된 약업소 등록 정보로 영업상태, 약국명칭, 약국 소재지, 약국 전화번호 등의 정보",CSV,2020-10-23,파일
413,서울특별시 영등포구 미용업 인허가 정보,자치행정기관,"업소명, 소재지, 전화번호 등 자료제공",CSV,2020-10-23,파일
414,서울특별시 영등포구 소독업소 인허가 정보,자치행정기관,"영등포구에 등록된 소독업소 등록 정보로 영업상태, 업소명칭,업소 소재지, 업소 전화번호 등의 정보",CSV,2020-10-23,파일
415,서울특별시 영등포구 산후조리업 인허가 정보,자치행정기관,"영등포구에 등록된 산후조리업소 등록 정보로 영업상태, 업소명칭, 소재지, 전화번호 등의 정보",CSV,2020-10-23,파일
416,서울특별시 영등포구 동물약국 인허가 정보,자치행정기관,"영등포 관내 동물약국 명칭, 주소, 전화번호 등 정보",CSV,2020-10-23,파일
417,서울특별시 영등포구 동물병원 인허가 정보,자치행정기관,"영등포 관내 동물병원 명칭, 주소, 전화번호 등 정보",CSV,2020-10-23,파일
418,보건복지부 시도별 응급의료기관 수,국가행정기관,응급의료기관 수 -시도별 (2018년12월) : 응급의료에 관한 법률에 따른 시도별 응급의료기관 종별 현황 자료,CSV,2020-10-23,파일
419,보건복지부 연도별 응급의료기관 수,국가행정기관,응급의료기관 수 - 연도별 (2001-2018) : 응급의료에 관한 법률에 따른 연도별 응급의료기관 종별 현황 자료,CSV,2020-10-23,파일
420,보건복지부 시도별 구급차 현황,국가행정기관,구급차 현황: 2018년 기준 시도별 기관별 구급차 운용 현황 (중앙응급의료센터에서 매월 응급의료정보센터의 운영실적을 취합 통계 작성),CSV,2020-10-23,파일
421,충청남도 일본뇌염 예측조사 정보,자치행정기관,충청남도 일본뇌염 예측조사를 위한 모기 채집결과 서비스,CSV,2020-10-23,파일
422,부산광역시 금정구 필수예방접종 위탁의료기관 현황,자치행정기관,"금정구 내 필수예방접종 위탁 의료기관 현황 (업소명, 소재지, 전화번호)",CSV,2020-10-23,파일
423,경기도 광명시 장례식장현황,자치행정기관,광명시 관내에 있는 장례식장 현황,CSV,2020-10-22,파일
424,경기도 안양시 만안구 안마시술소 현황,자치행정기관,경기도 안양시 만안구 관내 안마원 및 안마시술소 현황 정보입니다.,XLSX,2020-10-22,파일
425,부산광역시 금정구 보건소예방접종현황,자치행정기관,"부산시 금정구 보건소 예방접종 현황 (종류, 접종대상자, 비용 등)",CSV,2020-10-22,파일
426,제주특별자치도 난임시술지정병의원현황,자치행정기관,"제주도내 난임시술지정 의료기관명, 주소, 전화번호 등 정보 제공",CSV,2020-10-22,파일
427,제주특별자치도 국가예방접종지정의료기관현황,자치행정기관,"제주도 내 국가예방접종 지정의료기관의 병/의원명, 전화번호, 주소 정보 제공",CSV,2020-10-22,파일
428,제주특별자치도 공중위생업소현황 위생처리업,자치행정기관,"제주도 내 공중위생업소 위생처리업의 업소명, 소재지, 전화번호 등 정보 제공",CSV,2020-10-22,파일
429,제주특별자치도 공중위생업소현황 세척제제조업,자치행정기관,"제주도 내 공중위생업소 세척제제조업의 업소명, 소재지, 전화번호 등 정보 제공",CSV,2020-10-22,파일
430,제주특별자치도 공중위생업소현황 기타위생용품제조업,자치행정기관,"제주도 내 공중위생업소 기타위생용품제조업의 업소명, 소재지, 전화번호 등 정보 제공",CSV,2020-10-22,파일
431,제주특별자치도 건물위생관리업현황,자치행정기관,"제주도 내 공중위생업소 건물위생관리업의 업소명, 주소, 전화번호 등 정보 제공",CSV,2020-10-22,파일
432,제주특별자치도 건강관련통계정보,자치행정기관,"제주도 내 건강관련 통계 관련 연도별 ,고령인구비율(65세이상),노령화지수,독거노인수,의료기관수,의료기관 종사자수,흡연율,음주율,비만율,자살률,스트레스 인지율,교통사고 발생건수 정보 제공",CSV,2020-10-22,파일
433,경상남도 일본뇌염 유행예측 조사,자치행정기관,질병관리청과 연계하여 일본뇌염 매개모기(작은빨간집모기)의 밀도를 분석한 결과를 제공합니다.,ODT,2020-10-22,파일
434,보건복지부 시도별 사회복지자원봉사자현황,국가행정기관,"사회복지분야 자원봉사의 관리센터, 관리요원, 자원봉사자 현황
- 사회복지자원봉사관리센터(사회복지시설 등 )의 관리요원이 자원봉사인증관리시스템에
실적을 입력하면 한국사회복지협의회 취합 및 통계작성",CSV,2020-10-21,파일
435,보건복지부 연도별 사회복지자원봉사자현황,국가행정기관,"사회복지분야 자원봉사의 관리센터, 관리요원, 자원봉사자 현황
- 사회복지자원봉사관리센터(사회복지시설 등)의 관리요원이 자원봉사인증관리시스템에
실적을 입력하면 한국사회복지협의회 취합 및 통계작성",CSV,2020-10-21,파일
436,서울특별시 서초구 약국정보,자치행정기관,"의료기관명,소재지,진료과",CSV,2020-10-20,파일
437,부산광역시 금정구 의료기관 현황,자치행정기관,"부산광역시 금정구 의료기관(병원,의원,치과의원,한의원) 현황입니다.",CSV,2020-10-20,파일
438,서울특별시 동대문구 흡연시설,자치행정기관,"흡연시설형태, 설치위치, 규모, 관리주체 등",CSV,2020-10-20,파일
439,부산광역시 영도구 약국현황,자치행정기관,"영도구 소재 약국정보 안내(명칭,소재지,전화번호,영업시간)",CSV,2020-10-20,파일
440,부산광역시 영도구 의료기관현황,자치행정기관,"부산광역시 영도구 소재 병원, 의원, 치과 등 관내 의료기관 현황(의료기관명, 주소, 연락처 등)",CSV,2020-10-20,파일
441,부산광역시 영도구 동물병원 현황,자치행정기관,"영도구 관내 동물병원 현황(병원명, 소재지, 전화번호 등)",CSV,2020-10-20,파일
442,부산광역시 영도구 의료기기 설치 정보,자치행정기관,"영도구 소재 의료기관에서 설치 운영중인 특수의료장비, 방사선 장비 등 의료기기 현황",CSV,2020-10-20,파일
443,부산광역시 영도구 진단용방사선발생장치 설치 및 운영현황,자치행정기관,의료기관에서 설치 운영하고 있는 진단용 방사선 발생장치 내역,CSV,2020-10-20,파일
444,대구광역시 외국 환자와 언어 소통 가능한 병원,자치행정기관,대구시의 외국인 소통가능한 의료기관,HWP,2020-10-19,파일
445,보건복지부 국립정신건강센터 일별 입원환자수,국가행정기관,2020년 1월 ~ 9월까지 국립정신건강센터 일별 입원환자수,CSV,2020-10-19,파일
446,경기도 안양시 치과기공소 현황,자치행정기관,"치과기공소 정보(상호, 위치 등)",CSV,2020-10-19,파일
447,부산광역시 사하구 동물병원 현황,자치행정기관,"동물병원 신고일자, 업소명, 대표자명, 연락처, 도로명주소 등 정보제공",CSV,2020-10-19,파일
448,경기도 안양시 의료기관 정보,자치행정기관,경기도 안양시 관내 의료기관 현황 정보 입니다.,CSV,2020-10-19,파일
449,보건복지부 서울시 년도별 자살자 수,국가행정기관,자살 사망자 통계 자료,CSV,2020-10-19,파일
450,경기도 안양시 동안구 안마시술소 현황,자치행정기관,경기도 안양시 동안구 관내 안마원 및 안마시술소 현황 정보 입니다.,XLSX,2020-10-19,파일
451,경기도 안양시 안마시술소 현황,자치행정기관,경기도 안양시 관내 안마원 및 안마시술소 현황 정보 입니다.,XLSX,2020-10-19,파일
452,경기도 안양시 동안구 소독업소 현황,자치행정기관,경기도 안양시 동안구 관내 소독업소 현황 정보입니다.,CSV,2020-10-19,파일
453,경기도 안양시 만안구 소독업소 현황,자치행정기관,경기도 안양시 만안구 관내 소독업소 현황 정보 입니다.,CSV,2020-10-19,파일
454,경기도 안양시 소독업소 현황,자치행정기관,경기도 안양시 관내 소독업소 현황 정보입니다.,CSV,2020-10-19,파일
455,부산광역시 금정구 장례시설현황,자치행정기관,"금정구 내장례시설 현황 (업체명,소재지도로명주소,전화번호 등)",CSV,2020-10-17,파일
456,부산광역시 남구 목욕장업현황,자치행정기관,"부산광역시 남구 목욕장업현황(업소명, 주소, 전화번호 등) 자료 제공",CSV,2020-10-16,파일
457,경기도 안양시 소독의무대상시설 현황,자치행정기관,"안양시 관내 소독의무대상시설 현황(상호,소재지 제공)",CSV,2020-10-16,파일
458,경상남도 요양보호사 교육기관 현황,자치행정기관,"경상남도 요양보호사 교육기관 현황(교육기관,전화번호,주소)입니다",CSV,2020-10-16,파일
459,충청남도 소독 의무 대상 시설,자치행정기관,충청남도 소독 의무 대상 시설 현황 목록입니다.,CSV,2020-10-16,파일
460,경상남도 의료법인 현황,자치행정기관,"2018년 12월말 기준 경상남도 의료법인 현황(의료법인명, 대표자, 설립일자, 의료기관명, 주소)",CSV,2020-10-16,파일
461,경상남도 보건소 현황,자치행정기관,"2018년 말 기준 경남도내 보건소 현황(보건소명, 소재지, 연락처, 팩스, 진료과목, 진료시간)",CSV,2020-10-16,파일
462,경상남도 보건지소 현황,자치행정기관,"2018년 말 기준 경남도내 보건지소 현황(지소명, 소재지, 연락처, 팩스번호, 진료과목, 진료시간)",CSV,2020-10-16,파일
463,인천광역시 서구 산후조리원,자치행정기관,"인천광역시 서구 산후조리원 현황(업소명, 소재지, 전화번호)입니다.",CSV,2020-10-15,파일
464,부산광역시 사상구 진단용방사선발생장치 운영현황,자치행정기관,"사상구 관내 진단용방사선발생장치에 관한 현황(명칭, 소재지, 주소 등)",CSV,2020-10-15,파일
465,충청남도 방역 소독 업체 현황,자치행정기관,충청남도 방역 소독 업체 현황입니다.(09.30 기준),CSV,2020-10-15,파일
466,세종특별자치시 방역소독업체 현황,자치행정기관,"세종시 방역소독업체 현황입니다.(업체명, 소재지, 연락처)",CSV,2020-10-15,파일
467,부산광역시 금정구 부산광역시 금정구 의료기기 수리업 현황,자치행정기관,관내에서 의료기기 수리업을 하는 업소명 및 소재지,CSV,2020-10-15,파일
