fname,department,tag,info
국민건강보험공단 현금급여비(산소치료) 지급현황,국민건강보험공단,현금급여비,현금급여비(산소치료) 지급현황
국민건강보험공단 현금급여비(당뇨병환자소모성재료) 지급현황,국민건강보험공단,현금급여비,현금급여비(당뇨병환자소모성재료) 지급현황
인천광역시 외국인환자 유치업체 현황,,외국인환자유치,외국인환자 유치업체 현황
국민건강보험공단 본인부담금상한제 지급내역,국민건강보험공단,본인부담금상한제,본인부담금상한제 지급내역
국민건강보험공단 사업장관리 현황,국민건강보험공단,사업장관리,사업장관리 현황
국민건강보험공단 임신출산 진료비 지원 현황,국민건강보험공단,진료비,임신출산 진료비 지원 현황
국민건강보험공단 웹EDI 가입사업장 현황,국민건강보험공단,가입사업장,웹EDI 가입사업장 현황
국민건강보험공단 직장 소득월액보험료 정보,국민건강보험공단,소득월액보험료,직장 소득월액보험료 정보
인천광역시 정신의료기관 및 시설 현황,,정신의료기관,정신의료기관 및 시설 현황
인천광역시 보건교육실적 건강생활실천교육,,건강생활실천교육,보건교육실적 건강생활실천교육
인천광역시 법정감염병 발생 및 사망,,법정감염볍,법정감염병 발생 및 사망
인천광역시 공중위생관계업소현황,,공중위생관계업소현황,인천광역시 공중위생관계업소현황
인천광역시 성별·연령별 만성질환(6종)별 진료현황,,만성질환(6종)별,성별·연령별 만성질환(6종)별 진료현황
국민건강보험공단 지역별 기대수명지표,국민건강보험공단,기대수명지표,지역별 기대수명지표
국민건강보험공단 지역별 항생제사용량,국민건강보험공단,항생제사용량,지역별 항생제사용량
부산광역시 금정구 동물병원 현황,,동물병원,금정구 동물병원 현황
국민건강보험공단 지역별 항생제처방률,국민건강보험공단,항생제처방률,지역별 항생제처방률
인천광역시 건강보험급여 현황,,건강보험급여,건강보험급여 현황
전라남도 함평군 공중위생업현황,,공중위생업현황,함평군 공중위생업현황
전라북도 익산시 안마시술소,,안마시술소,익산시 안마시술소
전라북도 익산시 의약품 판매업소,,의약품,익산시 의약품 판매업소
전라남도 함평군 병의원현황,,병의원현황,함평군 병의원현황
전라남도 함평군 약국현황,,약국현황,함평군 약국현황
인천광역시 보건소 인력,,보건소,보건소 인력
인천광역시 부정의료업자 단속실적 의료인 현황,,단속실적,부정의료업자 단속실적 의료인 현황
인천광역시 의약품 판매업소 현황,,판매업소,의약품 판매업소 현황
충청남도 서산시 공중위생업소,,공중위생업소,서산시 공중위생업소
서울특별시 강서구 실외 흡연 장소,,실외흡연시설,강서구 실외 흡연 장소
울산광역시 남구 약국현황,,약국현황,남구 약국현황
경상남도 거창군 의료기관현황,,의료기관현황,거창군 의료기관현황
"울산광역시 남구 병원,의원 현황",,"병원,의원","남구 병원,의원 현황"
경상남도 거창군 이미용업소현황,,이미용업소현황,거창군 이미용업소현황
경상남도 거창군 약국현황,,약국현황,거창군 약국현황
울산광역시 남구 동물병원 정보,,동물병원,남구 동물병원 정보
경기도 남양주시 약국 현황,,약국,남양주시 약국 현황
경기도 남양주시 의료기관 현황,,의료기관,남양주시 의료기관 현황
경기도 남양주시 보건지소 및 진료소 현황,,보건지소,남양주시 보건지소 및 진료소 현황
서울특별시 영등포구 실외 흡연실 현황,,실외흡연실,영등포구 실외 흡연실 현황
서울특별시 서대문구 실외흡연실,,실외흡연실,서대문구 실외흡연실
부산광역시 영도구 장례시설현황,,장례시설현황,영도구 장례시설현황
부산광역시 연제구 목욕업현황,,목욕업현황,연제구 목욕업현황
부산시설공단 추모공원 봉안시설 정보,부산시설공단,봉안시설,추모공원 봉안시설 정보
광주광역시 광주광역시광산소방서 119응급의료지정병원현황,광주광역시광산소방서,119응급의료지정병원현황,광주광역시광산소방서 119응급의료지정병원현황
울산광역시 남구 산후조리원 현황,,산후조리원,남구 산후조리원 현황
울산광역시 남구 예방접종지정기관현황,,예방접종지정기관현황,남구 예방접종지정기관현황
한국사회보장정보원 해부학 그림 및 의료행위 기록,한국사회보장정보원,의료행위기록,해부학 그림 및 의료행위 기록
국립암센터 국립암센터 국가암정보센터 개방데이터 cancer,국립암센터,국가암정보센터,국립암센터 국가암정보센터 개방데이터 cancer
국립암센터 국립암센터 국가암정보센터 개방데이터 cancer.menu,국립암센터,국가암정보센터,국립암센터 국가암정보센터 개방데이터 cancer.menu
국립암센터 국립암센터 국가암정보센터 개방데이터 cancer board,국립암센터,국가암정보센터,국립암센터 국가암정보센터 개방데이터 cancer board
전라북도 임실군 보건지소및진료소,,보건지소및진료소,임실군 보건지소및진료소
보건복지부 국립춘천병원 2020년 3분기 내과 검사실적,보건복지부,내과검사실적,국립춘천병원 2020년 3분기 내과 검사실적
한국보훈복지의료공단 욕창진료센터 환자 치료정보 중앙보훈병원,한국보훈복지의료공단,환자치료정보,욕창진료센터 환자 치료정보 중앙보훈병원
보건복지부 국립공주병원 비급여 수가 정보,보건복지부,비급여,국립공주병원 비급여 수가 정보
보건복지부 국립공주병원 의약품 정보,보건복지부,의약품,국립공주병원 의약품 정보
한국건강증진개발원 온라인 금연교육 운영현황,한국건강증진개발원,금연교육,온라인 금연교육 운영현황
한국건강증진개발원 찾아가는 유아흡연예방교실 신청정보,한국건강증진개발원,유아흡연예방교실,찾아가는 유아흡연예방교실 신청정보
울산광역시 울주군 공중미용업 현황,,공중미용업,울주군 공중미용업 현황
충청북도 보은군 의약업소 현황,,의약업소,보은군 의약업소 현황
충청북도 보은군 의료기기 판매업소 현황,,의료기기,보은군 의료기기 판매업소 현황
기획재정부 WB 콜롬비아 의료서비스 평가 및 재정관리 제도 개선 지원 사업 분석 정보 수시,기획재정부,콜롬비아,WB 콜롬비아 의료서비스 평가 및 재정관리 제도 개선 지원 사업 분석 정보 수시
인천광역시 연수구 의료기기 판매업소 현황,,의료기기,연수구 의료기기 판매업소 현황
경상북도 영주시 흡연구역 정보,,흡연구역,영주시 흡연구역 정보
인천광역시 서구 치과기공소,,치과기공소,서구 치과기공소
인천광역시 서구 의약품도매상,,의약품도매상,서구 의약품도매상
인천광역시 서구 의료기기 판매업소,,의료기기,서구 의료기기 판매업소
인천광역시 서구 안전상비 의약품 판매업소,,상비약품 판매업소,서구 안전상비 의약품 판매업소
인천광역시 서구 안마업소,,안마업소,서구 안마업소
인천광역시 서구 금연아파트,,금연아파트,서구 금연아파트
한국건강증진개발원 보건소 모바일 헬스케어 서비스,한국건강증진개발원,모바일,보건소 모바일 헬스케어 서비스
한국건강증진개발원 보건소 모바일 헬스케어 식품,한국건강증진개발원,모바일,보건소 모바일 헬스케어 식품
보건복지부 국립부곡병원 비급여 진료비용,보건복지부,비급여,국립부곡병원 비급여 진료비용
보건복지부 국립부곡병원 약물중독자 치료보호실적,보건복지부,약물중독자,국립부곡병원 약물중독자 치료보호실적
보건복지부 국립부곡병원 진료통계,보건복지부,진료통계,국립부곡병원 진료통계
한국건강증진개발원 보건소 모바일 헬스케어 심박수,한국건강증진개발원,모바일,보건소 모바일 헬스케어 심박수
한국건강증진개발원 보건소 모바일 헬스케어 운동,한국건강증진개발원,모바일,보건소 모바일 헬스케어 운동
한국건강증진개발원 보건소 모바일 헬스케어 커뮤니티 정보,한국건강증진개발원,모바일,보건소 모바일 헬스케어 커뮤니티 정보
경기도 안산시 식품제조가공업체 위생등급 평가결과,,식품제조가공업체,안산시 식품제조가공업체 위생등급 평가결과
농림축산식품부 농림축산검역본부 열처리 소독 정보,농림축산식품부,열처리,농림축산검역본부 열처리 소독 정보
신규 중증(암)등록환자의 암유형별 등록인원 현황,,암유형별,중증(암)등록환자의 암유형별 등록인원 현황
경기도 안산시 공중위생서비스 평가결과,,공중위생서비스,안산시 공중위생서비스 평가결과
서울특별시 성북구 의료기기판매업소 현황,,의료기기판매업소,성북구 의료기기판매업소 현황
경기도 안산시 장례식장,,장례식장,안산시 장례식장
보건복지부 보건복지부 소관 법인 현황 특수법인,보건복지부,특수법인,보건복지부 소관 법인 현황 특수법인
부산광역시 해운대구 산후조리원 현황,,산후조리원,해운대구 산후조리원 현황
서울특별시 강동구 관내 심야운영 및 연중무휴약국 현황,,연중무휴약국현황,강동구 관내 심야운영 및 연중무휴약국 현황
서울특별시 강동구 관내 외국어 지원 의료기관 현황,,관내외국어지원의료기관현황,강동구 관내 외국어 지원 의료기관 현황
서울특별시 강동구 관내외국어지원약국현황,,관내외국어지원약국현황,강동구 관내외국어지원약국현황
울진군 병의원 현황,,병의원,병의원 현황
한국건강증진개발원 보건소 모바일 헬스케어 OPEN API 현황,한국건강증진개발원,모바일,보건소 모바일 헬스케어 OPEN API 현황
한국건강증진개발원 보건소 모바일 헬스케어 목표인원,한국건강증진개발원,모바일,보건소 모바일 헬스케어 목표인원
한국건강증진개발원 보건소 모바일 헬스케어 알림정보,한국건강증진개발원,모바일,보건소 모바일 헬스케어 알림정보
한국건강증진개발원 보건소 모바일 헬스케어 공지사항 정보,한국건강증진개발원,모바일,보건소 모바일 헬스케어 공지사항 정보
부산광역시 금정구 안마시술소 현황,,안마시술소,금정구 안마시술소 현황
부산광역시 금정구 치과기공소 현황,,치과기공소,금정구 치과기공소 현황
보건복지부 2016년도 건강보험료 지역가입자 경감현황,보건복지부,건강보험료,2016년도 건강보험료 지역가입자 경감현황
충청남도 감염병 발생 정보,,감염병,감염병 발생 정보
부산광역시 연제구 소독업소 현황,,소독업소,연제구 소독업소 현황
한국건강증진개발원 금연동향(담배규제팩트시트),한국건강증진개발원,금연동향,한국건강증진개발원 금연동향(담배규제팩트시트)
한국건강증진개발원 찾아가는 유아흡연예방교재 신청정보,한국건강증진개발원,유아흡연예방교재,찾아가는 유아흡연예방교재 신청정보
한국건강증진개발원 금연자료실(국문),한국건강증진개발원,금연자료실,한국건강증진개발원 금연자료실(국문)
한국건강증진개발원 금연자료실(영문),한국건강증진개발원,금연자료실,한국건강증진개발원 금연자료실(영문)
한국건강증진개발원 국민건강증진종합계획 만성퇴행성질환과 발병위험 요인관리 지표,한국건강증진개발원,만성퇴행성질환과,국민건강증진종합계획 만성퇴행성질환과 발병위험 요인관리 지표
한국건강증진개발원 국민건강증진종합계획 감염질환관리 지표,한국건강증진개발원,감염질환관리,국민건강증진종합계획 감염질환관리 지표
충청북도 음성군 약국현황,,약국현황,음성군 약국현황
충청북도 음성군 병의원 현황,,병의원,음성군 병의원 현황
인천광역시 서구 의료위탁시설,,의료위탁시설,서구 의료위탁시설
보건복지부 연구개발 사업-제품개발 및 수출실적,보건복지부,사업-제품개발,연구개발 사업-제품개발 및 수출실적
보건복지부 공공보건 의료기관 현황,보건복지부,의료기관,공공보건 의료기관 현황
한국건강증진개발원 국민건강증진종합계획 안전환경보건 지표,한국건강증진개발원,안전환경보건,국민건강증진종합계획 안전환경보건 지표
보건복지부 공중위생영업소 현황,보건복지부,공중위생엽엉소,공중위생영업소 현황
한국건강증진개발원 국민건강증진종합계획 건강생활실천확산 지표,한국건강증진개발원,건강생활실천확산,국민건강증진종합계획 건강생활실천확산 지표
보건복지부 2종 의료급여 지원 대상자 현황 : 연령별,보건복지부,의료급여,2종 의료급여 지원 대상자 현황 : 연령별
보건복지부 1종 의료급여 대상자 현황 연령별,보건복지부,의료급여,1종 의료급여 대상자 현황 연령별
보건복지부 의료급여 지원현황-연령별,보건복지부,의료급여,의료급여 지원현황-연령별
보건복지부 의료급여 지원현황-유형별 통계,보건복지부,의료급여,의료급여 지원현황-유형별 통계
경상북도 울진군 흡연구역현황,,흡연구역현황,울진군 흡연구역현황
충청남도 서천군 진단용방사선발생장치현황,,진단용방사선발생장치현황,서천군 진단용방사선발생장치현황
인천광역시 남동구 치과현황,,치과현황,남동구 치과현황
인천광역시 남동구 보건소신고감염병현황,,보건소신고감염병현황,남동구 보건소신고감염병현황
인천광역시 남동구 공휴일진료병원현황,,공휴일진료병원현황,남동구 공휴일진료병원현황
인천광역시 남동구 국가암검진 의료기관현황,,국가암검진,남동구 국가암검진 의료기관현황
보건복지부 만 65세 이상 70세 미만 이하 면허등록된 생존 의사수,보건복지부,면허등록된생존의사수,만 65세 이상 70세 미만 이하 면허등록된 생존 의사수
보건복지부 암발생률 통계,보건복지부,암발생률,암발생률 통계
보건복지부 시도별 암 발생자 분포,보건복지부,시도별암,시도별 암 발생자 분포
충청남도 예산군 의료기관 및 약국현황,,의료기관,예산군 의료기관 및 약국현황
충청남도 예산군 보건지소 및 보건진료소 현황,,보건지소,예산군 보건지소 및 보건진료소 현황
한국사회복지협의회 새생명지원사업 진료계약병원 목록,한국사회복지협의회,진료계약병원,새생명지원사업 진료계약병원 목록
보건복지부 사회복지관 시도별 및 유형별 현황,보건복지부,사회복지관,사회복지관 시도별 및 유형별 현황
경기도 남양주시 응급의료기관정보,,응급의료기관정보,남양주시 응급의료기관정보
경기도 남양주시 읍면동별 의료기관 현황,,의료기관,남양주시 읍면동별 의료기관 현황
전라남도 순천시 공중위생서비스 평가등급,,공중위생서비스,순천시 공중위생서비스 평가등급
인천광역시 미추홀구 의료기관,,의료기관,미추홀구 의료기관
부산광역시 연제구 의약품업소 정보,,의약품업소,연제구 의약품업소 정보
경상북도 고령군 코로나 19 검사현황,,코로나19검사현황,고령군 코로나 19 검사현황
서울특별시 강동구 동물등록현황,,동물등록현황,강동구 동물등록현황
보건복지부 정부 지정 난임술(자궁내정자주입) 의료기관 지정현황,보건복지부,난임술의료기관지정현황,정부 지정 난임술(자궁내정자주입) 의료기관 지정현황
한국의료분쟁조정중재원 보상금 청구 지급 현황,한국의료분쟁조정중재원,보상금,보상금 청구 지급 현황
한국의료분쟁조정중재원 손해배상 대불 재원 현황,한국의료분쟁조정중재원,손해배상,손해배상 대불 재원 현황
한국의료분쟁조정중재원 손해배상 대불금 적립 현황,한국의료분쟁조정중재원,손해배상,손해배상 대불금 적립 현황
한국의료분쟁조정중재원 손해배상 대불제도 청구 및 지급 현황,한국의료분쟁조정중재원,손해배상,손해배상 대불제도 청구 및 지급 현황
광주광역시 서구 종합미용(기타)현황,,종합미용(기타)현황,서구 종합미용(기타)현황
광주광역시 서구 네일아트업현황,,네일아트업현황,서구 네일아트업현황
광주광역시 서구 피부미용업현황,,피부미용업현황,서구 피부미용업현황
광주광역시 서구 이용업(이발소)현황,,이용업(이발소)현황,서구 이용업(이발소)현황
광주광역시 서구 일반미용업현황,,일반미용업현황,서구 일반미용업현황
한국보건산업진흥원 글로벌 보건산업 동향,한국보건산업진흥원,보건산업,글로벌 보건산업 동향
전라남도 화순군 의료기관현황,,의료기관현황,화순군 의료기관현황
전라남도 화순군 약국정보,,약국정보,화순군 약국정보
경상북도 청도군 흡연구역위치정보,,흡연구역위치정보,청도군 흡연구역위치정보
경상북도 영덕군 의료기관 현황,,의료기관,영덕군 의료기관 현황
경기도 안산시 안전상비의약품판매업소,,상비약품 판매업소,안산시 안전상비의약품판매업소
인천광역시 서구 동물병원,,동물병원,서구 동물병원
경기도 안산시 병원,,병원,안산시 병원
인천광역시 서구 동물약국,,동물약국,서구 동물약국
서울특별시 송파구 실외흡연구역위치,,실외흡연구역위치,송파구 실외흡연구역위치
경상남도 양산시 의료기관 정보,,의료기관,양산시 의료기관 정보
인천광역시 연수구 발달재활 및 언어치료 기관 현황,,발달재활,연수구 발달재활 및 언어치료 기관 현황
인천광역시 연수구 의료기관 현황,,의료기관,연수구 의료기관 현황
인천광역시 연수구 국가 암 검진 의료기관 현황,,암검진의료기관,연수구 국가 암 검진 의료기관 현황
한국보건의료인국가시험원 면허교부현황,한국보건의료인국가시험원,면허교부현황,한국보건의료인국가시험원 면허교부현황
경상남도 양산시 웅상지역 마을회관 현황,,마을회관,양산시 웅상지역 마을회관 현황
서울특별시 용산구 관내약국현황정보,,관내약국현황정보,용산구 관내약국현황정보
건강보험심사평가원 건강보험심사평가원 난임시술 의료기관 평가 정보,건강보험심사평가원,난임시술,건강보험심사평가원 난임시술 의료기관 평가 정보
경상남도 양산시 경로당 현황,,경로당,양산시 경로당 현황
건강보험심사평가원 의약품안전사용 안전성정보,건강보험심사평가원,안전성정보,의약품안전사용 안전성정보
건강보험심사평가원 코드테이블 행정구역,건강보험심사평가원,행정구역,코드테이블 행정구역
건강보험심사평가원 코드테이블,건강보험심사평가원,코드테이블,건강보험심사평가원 코드테이블
건강보험심사평가원 상병마스터,건강보험심사평가원,상병마스터,건강보험심사평가원 상병마스터
건강보험심사평가원 의약품안전사용 연령금기,건강보험심사평가원,연령금기,의약품안전사용 연령금기
건강보험심사평가원 의약품안전사용 병용금기,건강보험심사평가원,병용금기,의약품안전사용 병용금기
건강보험심사평가원 치료재료마스터,건강보험심사평가원,치료재료마스터,건강보험심사평가원 치료재료마스터
건강보험심사평가원 약가마스터 의약품주성분,건강보험심사평가원,의약품주성분,약가마스터 의약품주성분
건강보험심사평가원 약가마스터 급여한약제제,건강보험심사평가원,급여한약제제,약가마스터 급여한약제제
건강보험심사평가원 약가마스터 급여의약품,건강보험심사평가원,급여의약품,약가마스터 급여의약품
건강보험심사평가원 수가마스터 약국,건강보험심사평가원,약국,수가마스터 약국
건강보험심사평가원 수가마스터 한방,건강보험심사평가원,한방,수가마스터 한방
건강보험심사평가원 수가마스터 의치과,건강보험심사평가원,의치과,수가마스터 의치과
건강보험심사평가원 의료이용지도 의료자원대비인구정보,건강보험심사평가원,의료자원대비인구정보,의료이용지도 의료자원대비인구정보
한국건강증진개발원 절주(음주폐해) 알코올 사용에 의한 정신 및 행동 장애 사망자수 및 구성비(연령별),한국건강증진개발원,알코올,절주(음주폐해) 알코올 사용에 의한 정신 및 행동 장애 사망자수 및 구성비(연령별)
한국건강증진개발원 절주(음주폐해) 알코올 사용에 의한 정신 및 행동 장애 사망자수 및 구성비(성별),한국건강증진개발원,알코올,절주(음주폐해) 알코올 사용에 의한 정신 및 행동 장애 사망자수 및 구성비(성별)
한국건강증진개발원 절주(음주폐해) 알코올 질환 전체 사망자수 및 인구 10만 명당 사망률(성별),한국건강증진개발원,알코올,절주(음주폐해) 알코올 질환 전체 사망자수 및 인구 10만 명당 사망률(성별)
한국건강증진개발원 절주(음주폐해) 알코올 관련 질환 종류별 사망자수,한국건강증진개발원,알코올,절주(음주폐해) 알코올 관련 질환 종류별 사망자수
한국건강증진개발원 절주(음주폐해) 알코올 관련 질환 인구 10만 명당 사망률(연령별),한국건강증진개발원,알코올,절주(음주폐해) 알코올 관련 질환 인구 10만 명당 사망률(연령별)
한국건강증진개발원 절주(주류광고) 주종별 주류광고비 연간 지출,한국건강증진개발원,주종별,절주(주류광고) 주종별 주류광고비 연간 지출
한국건강증진개발원 절주(주류광고) 매체별 주류광고비 연간 지출,한국건강증진개발원,매체별,절주(주류광고) 매체별 주류광고비 연간 지출
한국건강증진개발원 절주(주류광고) TV 채널별 주류광고 연간 빈도,한국건강증진개발원,주류광고,절주(주류광고) TV 채널별 주류광고 연간 빈도
한국건강증진개발원 절주(청소년음주행동) 청소년의 연간 음주예방 교육 경험률,한국건강증진개발원,음주예방,절주(청소년음주행동) 청소년의 연간 음주예방 교육 경험률
한국건강증진개발원 절주(알코올 조세 및 가격) 주류별 부과세액 및 구성비,한국건강증진개발원,조세,절주(알코올 조세 및 가격) 주류별 부과세액 및 구성비
한국건강증진개발원 절주(알코올 조세 및 가격) 정부세입 중 주세비율,한국건강증진개발원,주세비율,절주(알코올 조세 및 가격) 정부세입 중 주세비율
한국건강증진개발원 절주(알코올 생산과 소비) 지역특산주 출고현황,한국건강증진개발원,지역특산주,절주(알코올 생산과 소비) 지역특산주 출고현황
한국건강증진개발원 절주(알코올 생산과 소비) 주요 주류 출고현황(수입분),한국건강증진개발원,출고현황,절주(알코올 생산과 소비) 주요 주류 출고현황(수입분)
한국건강증진개발원 절주(알코올 생산과 소비) 주요 주류 출고현황(국내분),한국건강증진개발원,출고현황,절주(알코올 생산과 소비) 주요 주류 출고현황(국내분)
한국건강증진개발원 절주(알코올 생산과 소비) 총 주요 주류 출고현황,한국건강증진개발원,출고현황,절주(알코올 생산과 소비) 총 주요 주류 출고현황
한국건강증진개발원 절주(알코올 생산과 소비) 민속주 출고현황,한국건강증진개발원,민속주,절주(알코올 생산과 소비) 민속주 출고현황
한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인의 평생 음주율,한국건강증진개발원,평생음주율,절주(성인의 음주행동유형) 19세 이상 성인의 평생 음주율
한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인의 월간 음주율,한국건강증진개발원,월간음주율,절주(성인의 음주행동유형) 19세 이상 성인의 월간 음주율
한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인의 연간 음주율,한국건강증진개발원,연간음주율,절주(성인의 음주행동유형) 19세 이상 성인의 연간 음주율
한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인의 고위험 음주율,한국건강증진개발원,고위험음주율,절주(성인의 음주행동유형) 19세 이상 성인의 고위험 음주율
한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인 중 연간음주자의 고위험 음주율,한국건강증진개발원,연간음주자의고위험음주율,절주(성인의 음주행동유형) 19세 이상 성인 중 연간음주자의 고위험 음주율
한국건강증진개발원 절주(청소년음주행동) 청소년의 현재 음주율,한국건강증진개발원,현재음주율,절주(청소년음주행동) 청소년의 현재 음주율
한국건강증진개발원 절주(청소년음주행동) 청소년의 평생 음주 경험률,한국건강증진개발원,평생음주경험률,절주(청소년음주행동) 청소년의 평생 음주 경험률
한국건강증진개발원 절주(청소년음주행동) 청소년의 처음 음주 경험 연령,한국건강증진개발원,처음음주경험연령,절주(청소년음주행동) 청소년의 처음 음주 경험 연령
"한국건강증진개발원 절주(청소년음주행동) 청소년의 위험 음주율, 문제 음주율",한국건강증진개발원,위험음주율,"절주(청소년음주행동) 청소년의 위험 음주율, 문제 음주율"
"한국건강증진개발원 절주(청소년음주행동) 청소년 중 현재 음주자의 위험 음주율, 문제 음주율",한국건강증진개발원,위험음주율,"절주(청소년음주행동) 청소년 중 현재 음주자의 위험 음주율, 문제 음주율"
한국건강증진개발원 절주(국외통계지표) 음주자의 하루 평균 알코올 섭취량,한국건강증진개발원,알코올섭취량,절주(국외통계지표) 음주자의 하루 평균 알코올 섭취량
한국건강증진개발원 절주(국외통계지표) 국가지역별 15세 이상 1인당 알코올 소비량(공식+비공식),한국건강증진개발원,알코올소비량,절주(국외통계지표) 국가지역별 15세 이상 1인당 알코올 소비량(공식+비공식)
한국건강증진개발원 절주(국외통계지표) 15세 이상 1인당 알코올 소비량(공식),한국건강증진개발원,알코올소비량,절주(국외통계지표) 15세 이상 1인당 알코올 소비량(공식)
한국건강증진개발원 절주(국외통계지표) 15세 이상 1인당 알코올 소비량(공식+비공식),한국건강증진개발원,알코올소비량,절주(국외통계지표) 15세 이상 1인당 알코올 소비량(공식+비공식)
보건복지부 자살예방센터 일별 자살상담 횟수,보건복지부,자살상담,자살예방센터 일별 자살상담 횟수
경기도 의왕시 흡연 관련 정보,,흡연,의왕시 흡연 관련 정보
인천광역시 남동구 방문보건사업현황,,방문보건사업현황,남동구 방문보건사업현황
인천광역시 남동구 약방한약방현황,,약방한약방현황,남동구 약방한약방현황
보건복지부 국립나주병원 비급여 수가 및 의약품 목록,보건복지부,비급여,국립나주병원 비급여 수가 및 의약품 목록
인천광역시 연수구 소독업소 현황,,소독업소,연수구 소독업소 현황
대전광역시 동구 의료기기업소 현황,,의료기기업소,동구 의료기기업소 현황
인천광역시 연수구 금연아파트 지정 현황,,금연아파트,연수구 금연아파트 지정 현황
국립중앙의료원 공공의료기관 현황,국립중앙의료원,공공의료기관,공공의료기관 현황
인천광역시 남동구 정신의료기관현황,,정신의료기관현황,남동구 정신의료기관현황
부산광역시 금정구 안경업소 현황,,안경업소,금정구 안경업소 현황
부산광역시 강서구 의료기기 판매업 현황,,의료기기,강서구 의료기기 판매업 현황
한국보건산업진흥원 보건산업총괄 통계,한국보건산업진흥원,보건산업총괄,보건산업총괄 통계
한국보건산업진흥원 의료기기 산업 통계표 연간,한국보건산업진흥원,의료기기산업,의료기기 산업 통계표 연간
한국건강증진개발원 국민건강증진종합계획 사업체계 지표,한국건강증진개발원,사업체계,국민건강증진종합계획 사업체계 지표
한국건강증진개발원 국민건강증진종합계획 인구집단 건강관리 지표,한국건강증진개발원,인구집단,국민건강증진종합계획 인구집단 건강관리 지표
전라북도 장수군 흡연구역 정보,,흡연구역,장수군 흡연구역 정보
부산광역시 연제구 진단용방사선발생장치설치및운영현황,,진단용방사선발생장치설치및운영현황,연제구 진단용방사선발생장치설치및운영현황
한국건강증진개발원 보건의날,한국건강증진개발원,보건의날,한국건강증진개발원 보건의날
한국건강증진개발원 보건복지 연구보고서,한국건강증진개발원,연구보고서,보건복지 연구보고서
인천광역시 동구 장례식장현황,,장례식장현황,동구 장례식장현황
부산광역시 강서구 병의원 현황,,병의원,강서구 병의원 현황
부산광역시 연제구 특수의료장비설치및운영현황,,특수의료장비설치및운영현황,연제구 특수의료장비설치및운영현황
경상남도 의령군 안전상비의약품판매업소,,상비약품 판매업소,의령군 안전상비의약품판매업소
건강보험심사평가원 인공지능 의료영상 판독지원 알고리즘 정보 폐암,건강보험심사평가원,의료영상,인공지능 의료영상 판독지원 알고리즘 정보 폐암
건강보험심사평가원 전문병원 지정 현황,건강보험심사평가원,전문병원,전문병원 지정 현황
제주특별자치도 서귀포시 공중위생업소현황,,공중위생업소현황,서귀포시 공중위생업소현황
부산광역시 정신보건시설 현황,,정신보건시설,정신보건시설 현황
제주특별자치도 서귀포시 추석(연휴)이용가능음식점현황,,추석(연휴)이용가능음식점현황,서귀포시 추석(연휴)이용가능음식점현황
제주특별자치도 서귀포시 연휴의료기관진료현황,,연휴의료기관진료현황,서귀포시 연휴의료기관진료현황
전라남도 구례군 집단급식소 설치 병원현황,,집단급식소,구례군 집단급식소 설치 병원현황
건강보험심사평가원 병원급이상 진료과목별 행위 통계,건강보험심사평가원,진료과목별,병원급이상 진료과목별 행위 통계
건강보험심사평가원 시도별 행위 통계,건강보험심사평가원,행위,시도별 행위 통계
서울특별시 강동구 코로나동별현황,,코로나동별현황,강동구 코로나동별현황
건강보험심사평가원 약제 평가 정보,건강보험심사평가원,약제평가,약제 평가 정보
건강보험심사평가원 암질환 평가 정보,건강보험심사평가원,암질환평가,암질환 평가 정보
건강보험심사평가원 급성질환 평가 정보,건강보험심사평가원,급성질환평가,급성질환 평가 정보
건강보험심사평가원 만성질환 평가 정보,건강보험심사평가원,만성질환평가,만성질환 평가 정보
부산광역시 해운대구 동물병원 현황,,동물병원,해운대구 동물병원 현황
질병관리청 국립마산병원 진료비 청구 현황,질병관리청,진료비,국립마산병원 진료비 청구 현황
질병관리청 국립마산병원 입원 재원자수 현황,질병관리청,입원,국립마산병원 입원 재원자수 현황
질병관리청 국립마산병원 외래 환자수 현황,질병관리청,외래,국립마산병원 외래 환자수 현황
질병관리청 국립마산병원 외래/입원 수입금 현황,질병관리청,외래/입원,국립마산병원 외래/입원 수입금 현황
인천광역시 연수구 휴일의료기관 현황,,휴일의료기관,연수구 휴일의료기관 현황
건강보험심사평가원 의료급여통계연보,건강보험심사평가원,의료급여통계연보,건강보험심사평가원 의료급여통계연보
건강보험심사평가원 진료비통계지표,건강보험심사평가원,진료비통계지표,건강보험심사평가원 진료비통계지표
건강보험심사평가원 건강보험통계연보,건강보험심사평가원,건강보험통계연보,건강보험심사평가원 건강보험통계연보
건강보험심사평가원 보건의료빅데이터개방시스템 건강보험진료통계,건강보험심사평가원,건강보험진료통계,보건의료빅데이터개방시스템 건강보험진료통계
보건복지부 보건의료인 면허 말소현황,보건복지부,면허,보건의료인 면허 말소현황
부산광역시 해운대구 소독업소 현황,,소독업소,해운대구 소독업소 현황
보건복지부 보건의료인 면허 신규등록현황,보건복지부,면허,보건의료인 면허 신규등록현황
부산광역시 서구 한의원,,한의원,서구 한의원
대구광역시 수성구 장례식장 현황,,장례식장,수성구 장례식장 현황
