,fname,provide,title,local,sub_loc,department,sub_dept,info
556,한국건강증진개발원 보건소 모바일 헬스케어 목표인원,공공기관,한국건강증진개발원,,,한국건강증진개발원,보건소,모바일 헬스케어 목표인원
557,한국건강증진개발원 보건소 모바일 헬스케어 알림정보,공공기관,한국건강증진개발원,,,한국건강증진개발원,보건소,모바일 헬스케어 알림정보
558,한국건강증진개발원 보건소 모바일 헬스케어 공지사항 정보,공공기관,한국건강증진개발원,,,한국건강증진개발원,보건소,모바일 헬스케어 공지사항 정보
559,부산광역시 금정구 안마시술소 현황,자치행정기관,부산광역시,부산광역시,금정구,,,
560,부산광역시 금정구 치과기공소 현황,자치행정기관,부산광역시,부산광역시,금정구,,,
561,보건복지부 2016년도 건강보험료 지역가입자 경감현황,국가행정기관,보건복지부,,,보건복지부,,건강보험료 지역가입자 경감현황
562,충청남도 감염병 발생 정보,자치행정기관,충청남도,충청남도,,,,
563,부산광역시 연제구 소독업소 현황,자치행정기관,부산광역시,부산광역시,연제구,,,
564,한국건강증진개발원 금연동향(담배규제팩트시트),공공기관,한국건강증진개발원,,,한국건강증진개발원,,
565,한국건강증진개발원 찾아가는 유아흡연예방교재 신청정보,공공기관,한국건강증진개발원,,,한국건강증진개발원,,
566,한국건강증진개발원 금연자료실(국문),공공기관,한국건강증진개발원,,,한국건강증진개발원,,
567,한국건강증진개발원 금연자료실(영문),공공기관,한국건강증진개발원,,,한국건강증진개발원,,
568,한국건강증진개발원 국민건강증진종합계획 만성퇴행성질환과 발병위험 요인관리 지표,공공기관,한국건강증진개발원,,,한국건강증진개발원,,만성퇴행성질환과 발병위험 요인관리 지표
569,한국건강증진개발원 국민건강증진종합계획 감염질환관리 지표,공공기관,한국건강증진개발원,,,한국건강증진개발원,,
570,충청북도 음성군 약국현황,자치행정기관,충청북도,충청북도,음성군,,,
571,충청북도 음성군 병의원 현황,자치행정기관,충청북도,충청북도,음성군,,,
572,인천광역시 서구 의료위탁시설,자치행정기관,인천광역시,인천광역시,서구,,,
573,보건복지부 연구개발 사업-제품개발 및 수출실적,국가행정기관,보건복지부,,,보건복지부,,사업-제품개발 및 수출실적
574,보건복지부 공공보건 의료기관 현황,국가행정기관,보건복지부,,,보건복지부,,
575,한국건강증진개발원 국민건강증진종합계획 안전환경보건 지표,공공기관,한국건강증진개발원,,,한국건강증진개발원,,
576,보건복지부 공중위생영업소 현황,국가행정기관,보건복지부,,,보건복지부,,
577,한국건강증진개발원 국민건강증진종합계획 건강생활실천확산 지표,공공기관,한국건강증진개발원,,,한국건강증진개발원,,
578,보건복지부 2종 의료급여 지원 대상자 현황 : 연령별,국가행정기관,보건복지부,,,보건복지부,,의료급여 지원 대상자 현황 : 연령별
579,보건복지부 1종 의료급여 대상자 현황 연령별,국가행정기관,보건복지부,,,보건복지부,,의료급여 대상자 현황 연령별
580,보건복지부 의료급여 지원현황-연령별,국가행정기관,보건복지부,,,보건복지부,,
581,보건복지부 의료급여 지원현황-유형별 통계,국가행정기관,보건복지부,,,보건복지부,,
582,경상북도 울진군 흡연구역현황,자치행정기관,경상북도,경상북도,울진군,,,
583,충청남도 서천군 진단용방사선발생장치현황,자치행정기관,충청남도,충청남도,서천군,,,
584,인천광역시 남동구 치과현황,자치행정기관,인천광역시,인천광역시,남동구,,,
585,인천광역시 남동구 보건소신고감염병현황,자치행정기관,인천광역시,인천광역시,남동구,,,
586,인천광역시 남동구 공휴일진료병원현황,자치행정기관,인천광역시,인천광역시,남동구,,,
587,인천광역시 남동구 국가암검진 의료기관현황,자치행정기관,인천광역시,인천광역시,남동구,,,
588,보건복지부 만 65세 이상 70세 미만 이하 면허등록된 생존 의사수,국가행정기관,보건복지부,,,보건복지부,,65세 이상 70세 미만 이하 면허등록된 생존 의사수
589,보건복지부 암발생률 통계,국가행정기관,보건복지부,,,보건복지부,,
590,보건복지부 시도별 암 발생자 분포,국가행정기관,보건복지부,,,보건복지부,,암 발생자 분포
591,충청남도 예산군 의료기관 및 약국현황,자치행정기관,충청남도,충청남도,예산군,,,의료기관 및 약국현황
592,충청남도 예산군 보건지소 및 보건진료소 현황,자치행정기관,충청남도,충청남도,예산군,,,보건지소 및 보건진료소 현황
593,한국사회복지협의회 새생명지원사업 진료계약병원 목록,공공기관,한국사회복지협의회,,,한국사회복지협의회,,
594,보건복지부 사회복지관 시도별 및 유형별 현황,국가행정기관,보건복지부,,,보건복지부,,시도별 및 유형별 현황
595,경기도 남양주시 응급의료기관정보,자치행정기관,경기도,경기도,남양주시,,,
596,경기도 남양주시 읍면동별 의료기관 현황,자치행정기관,경기도,경기도,남양주시,,,읍면동별 의료기관 현황
597,전라남도 순천시 공중위생서비스 평가등급,자치행정기관,전라남도,전라남도,순천시,,,
598,인천광역시 미추홀구 의료기관,자치행정기관,인천광역시,인천광역시,미추홀구,,,
599,부산광역시 연제구 의약품업소 정보,자치행정기관,부산광역시,부산광역시,연제구,,,
600,경상북도 고령군 코로나 19 검사현황,자치행정기관,경상북도,경상북도,고령군,,,코로나 19 검사현황
601,서울특별시 강동구 동물등록현황,자치행정기관,서울특별시,서울특별시,강동구,,,
602,보건복지부 정부 지정 난임술(자궁내정자주입) 의료기관 지정현황,국가행정기관,보건복지부,,,보건복지부,,지정 난임술(자궁내정자주입) 의료기관 지정현황
603,한국의료분쟁조정중재원 보상금 청구 지급 현황,공공기관,한국의료분쟁조정중재원,,,한국의료분쟁조정중재원,,청구 지급 현황
604,한국의료분쟁조정중재원 손해배상 대불 재원 현황,공공기관,한국의료분쟁조정중재원,,,한국의료분쟁조정중재원,,대불 재원 현황
605,한국의료분쟁조정중재원 손해배상 대불금 적립 현황,공공기관,한국의료분쟁조정중재원,,,한국의료분쟁조정중재원,,대불금 적립 현황
606,한국의료분쟁조정중재원 손해배상 대불제도 청구 및 지급 현황,공공기관,한국의료분쟁조정중재원,,,한국의료분쟁조정중재원,,대불제도 청구 및 지급 현황
607,광주광역시 서구 종합미용(기타)현황,자치행정기관,광주광역시,광주광역시,서구,,,
608,광주광역시 서구 네일아트업현황,자치행정기관,광주광역시,광주광역시,서구,,,
609,광주광역시 서구 피부미용업현황,자치행정기관,광주광역시,광주광역시,서구,,,
610,광주광역시 서구 이용업(이발소)현황,자치행정기관,광주광역시,광주광역시,서구,,,
611,광주광역시 서구 일반미용업현황,자치행정기관,광주광역시,광주광역시,서구,,,
612,한국보건산업진흥원 글로벌 보건산업 동향,공공기관,한국보건산업진흥원,,,한국보건산업진흥원,,
613,전라남도 화순군 의료기관현황,자치행정기관,전라남도,전라남도,화순군,,,
614,전라남도 화순군 약국정보,자치행정기관,전라남도,전라남도,화순군,,,
615,경상북도 청도군 흡연구역위치정보,자치행정기관,경상북도,경상북도,청도군,,,
616,경상북도 영덕군 의료기관 현황,자치행정기관,경상북도,경상북도,영덕군,,,
617,경기도 안산시 안전상비의약품판매업소,자치행정기관,경기도,경기도,안산시,,,
618,인천광역시 서구 동물병원,자치행정기관,인천광역시,인천광역시,서구,,,
619,경기도 안산시 병원,자치행정기관,경기도,경기도,안산시,,,
620,인천광역시 서구 동물약국,자치행정기관,인천광역시,인천광역시,서구,,,
621,서울특별시 송파구 실외흡연구역위치,자치행정기관,서울특별시,서울특별시,송파구,,,
622,경상남도 양산시 의료기관 정보,자치행정기관,경상남도,경상남도,양산시,,,
623,인천광역시 연수구 발달재활 및 언어치료 기관 현황,자치행정기관,인천광역시,인천광역시,연수구,,,발달재활 및 언어치료 기관 현황
624,인천광역시 연수구 의료기관 현황,자치행정기관,인천광역시,인천광역시,연수구,,,
625,인천광역시 연수구 국가 암 검진 의료기관 현황,자치행정기관,인천광역시,인천광역시,연수구,,,국가 암 검진 의료기관 현황
626,한국보건의료인국가시험원 면허교부현황,공공기관,한국보건의료인국가시험원,,,한국보건의료인국가시험원,,
627,경상남도 양산시 웅상지역 마을회관 현황,자치행정기관,경상남도,경상남도,양산시,,,웅상지역 마을회관 현황
628,서울특별시 용산구 관내약국현황정보,자치행정기관,서울특별시,서울특별시,용산구,,,
629,건강보험심사평가원 건강보험심사평가원 난임시술 의료기관 평가 정보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,난임시술 의료기관 평가 정보
630,경상남도 양산시 경로당 현황,자치행정기관,경상남도,경상남도,양산시,,,
631,건강보험심사평가원 의약품안전사용 안전성정보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
632,건강보험심사평가원 코드테이블 행정구역,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
633,건강보험심사평가원 코드테이블,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
634,건강보험심사평가원 상병마스터,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
635,건강보험심사평가원 의약품안전사용 연령금기,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
636,건강보험심사평가원 의약품안전사용 병용금기,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
637,건강보험심사평가원 치료재료마스터,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
638,건강보험심사평가원 약가마스터 의약품주성분,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
639,건강보험심사평가원 약가마스터 급여한약제제,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
640,건강보험심사평가원 약가마스터 급여의약품,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
641,건강보험심사평가원 수가마스터 약국,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
642,건강보험심사평가원 수가마스터 한방,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
643,건강보험심사평가원 수가마스터 의치과,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
644,건강보험심사평가원 의료이용지도 의료자원대비인구정보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
645,한국건강증진개발원 절주(음주폐해) 알코올 사용에 의한 정신 및 행동 장애 사망자수 및 구성비(연령별),공공기관,한국건강증진개발원,,,한국건강증진개발원,,알코올 사용에 의한 정신 및 행동 장애 사망자수 및 구성비(연령별)
646,한국건강증진개발원 절주(음주폐해) 알코올 사용에 의한 정신 및 행동 장애 사망자수 및 구성비(성별),공공기관,한국건강증진개발원,,,한국건강증진개발원,,알코올 사용에 의한 정신 및 행동 장애 사망자수 및 구성비(성별)
647,한국건강증진개발원 절주(음주폐해) 알코올 질환 전체 사망자수 및 인구 10만 명당 사망률(성별),공공기관,한국건강증진개발원,,,한국건강증진개발원,,알코올 질환 전체 사망자수 및 인구 10만 명당 사망률(성별)
648,한국건강증진개발원 절주(음주폐해) 알코올 관련 질환 종류별 사망자수,공공기관,한국건강증진개발원,,,한국건강증진개발원,,알코올 관련 질환 종류별 사망자수
649,한국건강증진개발원 절주(음주폐해) 알코올 관련 질환 인구 10만 명당 사망률(연령별),공공기관,한국건강증진개발원,,,한국건강증진개발원,,알코올 관련 질환 인구 10만 명당 사망률(연령별)
650,한국건강증진개발원 절주(주류광고) 주종별 주류광고비 연간 지출,공공기관,한국건강증진개발원,,,한국건강증진개발원,,주종별 주류광고비 연간 지출
651,한국건강증진개발원 절주(주류광고) 매체별 주류광고비 연간 지출,공공기관,한국건강증진개발원,,,한국건강증진개발원,,매체별 주류광고비 연간 지출
652,한국건강증진개발원 절주(주류광고) TV 채널별 주류광고 연간 빈도,공공기관,한국건강증진개발원,,,한국건강증진개발원,,TV 채널별 주류광고 연간 빈도
653,한국건강증진개발원 절주(청소년음주행동) 청소년의 연간 음주예방 교육 경험률,공공기관,한국건강증진개발원,,,한국건강증진개발원,,청소년의 연간 음주예방 교육 경험률
654,한국건강증진개발원 절주(알코올 조세 및 가격) 주류별 부과세액 및 구성비,공공기관,한국건강증진개발원,,,한국건강증진개발원,,조세 및 가격) 주류별 부과세액 및 구성비
655,한국건강증진개발원 절주(알코올 조세 및 가격) 정부세입 중 주세비율,공공기관,한국건강증진개발원,,,한국건강증진개발원,,조세 및 가격) 정부세입 중 주세비율
656,한국건강증진개발원 절주(알코올 생산과 소비) 지역특산주 출고현황,공공기관,한국건강증진개발원,,,한국건강증진개발원,,생산과 소비) 지역특산주 출고현황
657,한국건강증진개발원 절주(알코올 생산과 소비) 주요 주류 출고현황(수입분),공공기관,한국건강증진개발원,,,한국건강증진개발원,,생산과 소비) 주요 주류 출고현황(수입분)
658,한국건강증진개발원 절주(알코올 생산과 소비) 주요 주류 출고현황(국내분),공공기관,한국건강증진개발원,,,한국건강증진개발원,,생산과 소비) 주요 주류 출고현황(국내분)
659,한국건강증진개발원 절주(알코올 생산과 소비) 총 주요 주류 출고현황,공공기관,한국건강증진개발원,,,한국건강증진개발원,,생산과 소비) 총 주요 주류 출고현황
660,한국건강증진개발원 절주(알코올 생산과 소비) 민속주 출고현황,공공기관,한국건강증진개발원,,,한국건강증진개발원,,생산과 소비) 민속주 출고현황
661,한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인의 평생 음주율,공공기관,한국건강증진개발원,,,한국건강증진개발원,,음주행동유형) 19세 이상 성인의 평생 음주율
662,한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인의 월간 음주율,공공기관,한국건강증진개발원,,,한국건강증진개발원,,음주행동유형) 19세 이상 성인의 월간 음주율
663,한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인의 연간 음주율,공공기관,한국건강증진개발원,,,한국건강증진개발원,,음주행동유형) 19세 이상 성인의 연간 음주율
664,한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인의 고위험 음주율,공공기관,한국건강증진개발원,,,한국건강증진개발원,,음주행동유형) 19세 이상 성인의 고위험 음주율
665,한국건강증진개발원 절주(성인의 음주행동유형) 19세 이상 성인 중 연간음주자의 고위험 음주율,공공기관,한국건강증진개발원,,,한국건강증진개발원,,음주행동유형) 19세 이상 성인 중 연간음주자의 고위험 음주율
666,한국건강증진개발원 절주(청소년음주행동) 청소년의 현재 음주율,공공기관,한국건강증진개발원,,,한국건강증진개발원,,청소년의 현재 음주율
667,한국건강증진개발원 절주(청소년음주행동) 청소년의 평생 음주 경험률,공공기관,한국건강증진개발원,,,한국건강증진개발원,,청소년의 평생 음주 경험률
668,한국건강증진개발원 절주(청소년음주행동) 청소년의 처음 음주 경험 연령,공공기관,한국건강증진개발원,,,한국건강증진개발원,,청소년의 처음 음주 경험 연령
669,"한국건강증진개발원 절주(청소년음주행동) 청소년의 위험 음주율, 문제 음주율",공공기관,한국건강증진개발원,,,한국건강증진개발원,,"청소년의 위험 음주율, 문제 음주율"
670,"한국건강증진개발원 절주(청소년음주행동) 청소년 중 현재 음주자의 위험 음주율, 문제 음주율",공공기관,한국건강증진개발원,,,한국건강증진개발원,,"청소년 중 현재 음주자의 위험 음주율, 문제 음주율"
671,한국건강증진개발원 절주(국외통계지표) 음주자의 하루 평균 알코올 섭취량,공공기관,한국건강증진개발원,,,한국건강증진개발원,,음주자의 하루 평균 알코올 섭취량
672,한국건강증진개발원 절주(국외통계지표) 국가지역별 15세 이상 1인당 알코올 소비량(공식+비공식),공공기관,한국건강증진개발원,,,한국건강증진개발원,,국가지역별 15세 이상 1인당 알코올 소비량(공식+비공식)
673,한국건강증진개발원 절주(국외통계지표) 15세 이상 1인당 알코올 소비량(공식),공공기관,한국건강증진개발원,,,한국건강증진개발원,,15세 이상 1인당 알코올 소비량(공식)
674,한국건강증진개발원 절주(국외통계지표) 15세 이상 1인당 알코올 소비량(공식+비공식),공공기관,한국건강증진개발원,,,한국건강증진개발원,,15세 이상 1인당 알코올 소비량(공식+비공식)
675,보건복지부 자살예방센터 일별 자살상담 횟수,국가행정기관,보건복지부,,,보건복지부,자살예방센터,일별 자살상담 횟수
676,경기도 의왕시 흡연 관련 정보,자치행정기관,경기도,경기도,의왕시,,,흡연 관련 정보
677,인천광역시 남동구 방문보건사업현황,자치행정기관,인천광역시,인천광역시,남동구,,,
678,인천광역시 남동구 약방한약방현황,자치행정기관,인천광역시,인천광역시,남동구,,,
679,보건복지부 국립나주병원 비급여 수가 및 의약품 목록,국가행정기관,보건복지부,,,보건복지부,국립나주병원,비급여 수가 및 의약품 목록
680,인천광역시 연수구 소독업소 현황,자치행정기관,인천광역시,인천광역시,연수구,,,
681,대전광역시 동구 의료기기업소 현황,자치행정기관,대전광역시,대전광역시,동구,,,
682,인천광역시 연수구 금연아파트 지정 현황,자치행정기관,인천광역시,인천광역시,연수구,,,금연아파트 지정 현황
683,국립중앙의료원 공공의료기관 현황,공공기관,국립중앙의료원,,,국립중앙의료원,공공의료기관,
684,인천광역시 남동구 정신의료기관현황,자치행정기관,인천광역시,인천광역시,남동구,,,
685,부산광역시 금정구 안경업소 현황,자치행정기관,부산광역시,부산광역시,금정구,,,
686,부산광역시 강서구 의료기기 판매업 현황,자치행정기관,부산광역시,부산광역시,강서구,,,의료기기 판매업 현황
687,한국보건산업진흥원 보건산업총괄 통계,공공기관,한국보건산업진흥원,,,한국보건산업진흥원,,
688,한국보건산업진흥원 의료기기 산업 통계표 연간,공공기관,한국보건산업진흥원,,,한국보건산업진흥원,,산업 통계표 연간
689,한국건강증진개발원 국민건강증진종합계획 사업체계 지표,공공기관,한국건강증진개발원,,,한국건강증진개발원,,
690,한국건강증진개발원 국민건강증진종합계획 인구집단 건강관리 지표,공공기관,한국건강증진개발원,,,한국건강증진개발원,,인구집단 건강관리 지표
691,전라북도 장수군 흡연구역 정보,자치행정기관,전라북도,전라북도,장수군,,,
692,부산광역시 연제구 진단용방사선발생장치설치및운영현황,자치행정기관,부산광역시,부산광역시,연제구,,,
693,한국건강증진개발원 보건의날,공공기관,한국건강증진개발원,,,한국건강증진개발원,,
694,한국건강증진개발원 보건복지 연구보고서,공공기관,한국건강증진개발원,,,한국건강증진개발원,,
695,인천광역시 동구 장례식장현황,자치행정기관,인천광역시,인천광역시,동구,,,
696,부산광역시 강서구 병의원 현황,자치행정기관,부산광역시,부산광역시,강서구,,,
697,부산광역시 연제구 특수의료장비설치및운영현황,자치행정기관,부산광역시,부산광역시,연제구,,,
698,경상남도 의령군 안전상비의약품판매업소,자치행정기관,경상남도,경상남도,의령군,,,
699,건강보험심사평가원 인공지능 의료영상 판독지원 알고리즘 정보 폐암,공공기관,건강보험심사평가원,,,건강보험심사평가원,,의료영상 판독지원 알고리즘 정보 폐암
700,건강보험심사평가원 전문병원 지정 현황,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
701,제주특별자치도 서귀포시 공중위생업소현황,자치행정기관,제주특별자치도,제주특별자치도,서귀포시,,,
702,부산광역시 정신보건시설 현황,자치행정기관,부산광역시,부산광역시,,,,
703,제주특별자치도 서귀포시 추석(연휴)이용가능음식점현황,자치행정기관,제주특별자치도,제주특별자치도,서귀포시,,,
704,제주특별자치도 서귀포시 연휴의료기관진료현황,자치행정기관,제주특별자치도,제주특별자치도,서귀포시,,,
705,전라남도 구례군 집단급식소 설치 병원현황,자치행정기관,전라남도,전라남도,구례군,,,집단급식소 설치 병원현황
706,건강보험심사평가원 병원급이상 진료과목별 행위 통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,,진료과목별 행위 통계
707,건강보험심사평가원 시도별 행위 통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
708,서울특별시 강동구 코로나동별현황,자치행정기관,서울특별시,서울특별시,강동구,,,
709,건강보험심사평가원 약제 평가 정보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
710,건강보험심사평가원 암질환 평가 정보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
711,건강보험심사평가원 급성질환 평가 정보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
712,건강보험심사평가원 만성질환 평가 정보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
713,부산광역시 해운대구 동물병원 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
714,질병관리청 국립마산병원 진료비 청구 현황,국가행정기관,질병관리청,,,질병관리청,국립마산병원,진료비 청구 현황
715,질병관리청 국립마산병원 입원 재원자수 현황,국가행정기관,질병관리청,,,질병관리청,국립마산병원,입원 재원자수 현황
716,질병관리청 국립마산병원 외래 환자수 현황,국가행정기관,질병관리청,,,질병관리청,국립마산병원,외래 환자수 현황
717,질병관리청 국립마산병원 외래/입원 수입금 현황,국가행정기관,질병관리청,,,질병관리청,국립마산병원,외래/입원 수입금 현황
718,인천광역시 연수구 휴일의료기관 현황,자치행정기관,인천광역시,인천광역시,연수구,,,
719,건강보험심사평가원 의료급여통계연보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
720,건강보험심사평가원 진료비통계지표,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
721,건강보험심사평가원 건강보험통계연보,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
722,건강보험심사평가원 보건의료빅데이터개방시스템 건강보험진료통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
723,보건복지부 보건의료인 면허 말소현황,국가행정기관,보건복지부,,,보건복지부,,
724,부산광역시 해운대구 소독업소 현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
725,보건복지부 보건의료인 면허 신규등록현황,국가행정기관,보건복지부,,,보건복지부,,
726,부산광역시 서구 한의원,자치행정기관,부산광역시,부산광역시,서구,,,
727,대구광역시 수성구 장례식장 현황,자치행정기관,대구광역시,대구광역시,수성구,,,
728,부산광역시 서구 종합병원,자치행정기관,부산광역시,부산광역시,서구,,,
729,부산광역시 서구 병원(의원급),자치행정기관,부산광역시,부산광역시,서구,,,
730,부산광역시 금정구 진단용방사선발생장치 설치 및 운영현황,자치행정기관,부산광역시,부산광역시,금정구,,,진단용방사선발생장치 설치 및 운영현황
731,대구광역시 수성구 산후조리원 현황,자치행정기관,대구광역시,대구광역시,수성구,,,
732,부산광역시 서구 보건소 예방접종 정보,자치행정기관,부산광역시,부산광역시,서구,,,보건소 예방접종 정보
733,경기도 부천시 소독의무 대상시설,자치행정기관,경기도,경기도,부천시,,,
734,전라남도 장흥군 담배소매업 현황,자치행정기관,전라남도,전라남도,장흥군,,,
735,경기도 부천시 안경업소 현황,자치행정기관,경기도,경기도,부천시,,,
736,부산광역시 연제구 흡연실 현황,자치행정기관,부산광역시,부산광역시,연제구,,,
737,인천광역시 연수구 자동심장충격기 설치 현황,자치행정기관,인천광역시,인천광역시,연수구,,,자동심장충격기 설치 현황
738,보건복지부 발달재활 제공기관 현황,국가행정기관,보건복지부,,,보건복지부,,
739,인천광역시 연수구 안마업소 현황,자치행정기관,인천광역시,인천광역시,연수구,,,
740,인천광역시 연수구 안전상비 의약품 판매업소 현황,자치행정기관,인천광역시,인천광역시,연수구,,,안전상비 의약품 판매업소 현황
741,인천광역시 연수구 일요일 당번 약국 현황,자치행정기관,인천광역시,인천광역시,연수구,,,일요일 당번 약국 현황
742,인천광역시 연수구 의약품 도매상 현황,자치행정기관,인천광역시,인천광역시,연수구,,,의약품 도매상 현황
743,인천광역시 연수구 치과기공소 현황,자치행정기관,인천광역시,인천광역시,연수구,,,
744,부산광역시 금정구 특수의료장비 관련 정보,자치행정기관,부산광역시,부산광역시,금정구,,,특수의료장비 관련 정보
745,부산광역시 연제구 산후조리원 현황,자치행정기관,부산광역시,부산광역시,연제구,,,
746,경상북도 보건진료소 현황,자치행정기관,경상북도,경상북도,,,,
747,경상북도 보건지소 현황,자치행정기관,경상북도,경상북도,,,,
748,인천광역시 코로나19 검사건수,자치행정기관,인천광역시,인천광역시,,,,
749,전라남도 광양시 약국현황,자치행정기관,전라남도,전라남도,광양시,,,
750,전라남도 광양시 암검진 의료기관 현황,자치행정기관,전라남도,전라남도,광양시,,,암검진 의료기관 현황
751,경상북도 산후조리원현황,자치행정기관,경상북도,경상북도,,,,
752,보건복지부 응급안전서비스 운영기관 현황 정보,국가행정기관,보건복지부,,,보건복지부,,운영기관 현황 정보
753,인천광역시 중구 약국 현황,자치행정기관,인천광역시,인천광역시,중구,,,
754,건강보험심사평가원 보건의료빅데이터개방시스템 임상간호인력현황정보,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
755,건강보험심사평가원 보건의료빅데이터개방시스템 의료시설및장비통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
756,건강보험심사평가원 보건의료빅데이터개방시스템 의료인력통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
757,건강보험심사평가원 보건의료빅데이터개방시스템 의료기관수통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
758,건강보험심사평가원 보건의료빅데이터개방시스템 ATC3단계별사용통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
759,건강보험심사평가원 보건의료빅데이터개방시스템 ATC4단계별사용통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
760,부산광역시 연제구 정기 예방접종 현황,자치행정기관,부산광역시,부산광역시,연제구,,,정기 예방접종 현황
761,건강보험심사평가원 보건의료빅데이터개방시스템 성분사용통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
762,건강보험심사평가원 보건의료빅데이터개방시스템 약효분류군사용통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
763,건강보험심사평가원 보건의료빅데이터개방시스템 질병별의약품통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
764,건강보험심사평가원 보건의료빅데이터개방시스템 의약품사용통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
765,경상남도 남해군 건물위생관리업현황,자치행정기관,경상남도,경상남도,남해군,,,
766,경기도 연천군 약국 현황,자치행정기관,경기도,경기도,연천군,,,
767,경상북도 경상북도청내 흡연구역 현황,자치행정기관,경상북도,경상북도,,,,
768,인천광역시 서구 안경업소,자치행정기관,인천광역시,인천광역시,서구,,,
769,경상북도 병원(종합병원)현황,자치행정기관,경상북도,경상북도,,,,
770,부산광역시 금정구 약국 현황,자치행정기관,부산광역시,부산광역시,금정구,,,
771,서울특별시 종로구 자동심장충격기(AED),자치행정기관,서울특별시,서울특별시,종로구,,,
772,경상남도 남해군 세탁업소현황,자치행정기관,경상남도,경상남도,남해군,,,
773,경상남도 남해군 숙박업소현황,자치행정기관,경상남도,경상남도,남해군,,,
774,경상남도 남해군 이미용업소현황,자치행정기관,경상남도,경상남도,남해군,,,
775,건강보험심사평가원 보건의료빅데이터개방시스템 상대가치통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
776,건강보험심사평가원 보건의료빅데이터개방시스템 진료행위통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
777,건강보험심사평가원 보건의료빅데이터개방시스템 4단상병통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
778,건강보험심사평가원 보건의료빅데이터개방시스템 3단상병통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
779,건강보험심사평가원 보건의료빅데이터개방시스템 다빈도질병통계,공공기관,건강보험심사평가원,,,건강보험심사평가원,보건의료빅데이터개방시스템,
780,대구광역시 북구 장례식장,자치행정기관,대구광역시,대구광역시,북구,,,
781,전라남도 보성군 약국,자치행정기관,전라남도,전라남도,보성군,,,
782,전라남도 보성군 병의원,자치행정기관,전라남도,전라남도,보성군,,,
783,전라남도 보성군 흡연구역현황,자치행정기관,전라남도,전라남도,보성군,,,
784,대구광역시 서구 병의원 현황,자치행정기관,대구광역시,대구광역시,서구,,,
785,경기도 포천시 의원 현황,자치행정기관,경기도,경기도,포천시,,,
786,경기도 포천시 병원현황,자치행정기관,경기도,경기도,포천시,,,
787,대구광역시 서구 약국현황,자치행정기관,대구광역시,대구광역시,서구,,,
